PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated
"1346306","Palmér, Emma","Rustan Bergwall : - brukstjänsteman, guldgrävare och jägare i Sibirien","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Amatörfotografernas värld","158","165","2009","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1967","c9bf83ba-cc2c-4774-82a5-198d8f39bf2f","","Amatörfotografer;Amatörfotografi;Fotografi;Rustan Bergwall","Annan humaniora (605)","Kulturhistoria;Vardagsliv och berättande","","","","","","","","","","","","","","","","2019-08-27","2019-08-27","2019-08-28"
"1346445","Rosengren, Annette (Nordiska museet [877150])","Rut Nilsson","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Amatörfotografernas värld","218","221","2009","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1979","cedb7c60-cd50-44eb-8b13-855abba8ace8","","Amatörfotografer;Amatörfotografi;Fotografi;Rut Nilsson","Annan humaniora (605)","Kulturhistoria;Vardagsliv och berättande","","","","","","","","","","","","","","","","2019-08-28","2019-08-28","2019-08-28"
"1232740","Fürst, Carl Magnus (Nordiska museet [877150])","Ryggåsastugor i Bleking","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Meddelanden : 1884","94","102","1886","","","Stockholm","Samfundet för Nordiska Museets främjande","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-208","609c0606-9681-485b-b909-6ecde0e64d25","","Bebyggelse;Boende","Etnologi (60503)","Hem och bostad","","","","","","","","","","","","","","","","2018-07-12","2018-07-12","2018-11-28"
"1234176","Jansson, Sam Owen (Nordiska museet [877150])","Rätt våg och rätt skäppa : Ur Besmanets och spannmålsmåttens svenska historia","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","147","168","1936","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-408","06a4d9e7-222c-4b92-b389-052a2473316f","","Spannmålsmått","Etnologi (60503)","Naturbruk och agrarhistoria","","","","","","","","","","","","","","","","2018-07-23","2018-07-23","2018-11-05"
"1365170","Wallquist, Cecilia (Nordiska museet [877150])","Rätten att få vara gammal : samtal om acceptans, villkor och fördomar","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Se åldern","284","301","2015","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-2116","c9d7e876-a4a0-4806-acf4-540bbb1b78e5","","Åldrandet","Annan humaniora (605)","Kulturhistoria","","","","","","","","","","","","","","","","2019-10-23","2019-10-23","2019-10-24"
"1244849","Ambrosiani, Sune (Nordiska museet [877150])","Rörstrandskakel från år 1727","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Kulturhistorisk tidskrift","53","57","1913","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-715","98ebd7e9-926a-49d6-9a4f-69339bae86ca","","Kakel","Etnologi (60503)","Näringar och arbetsliv","","","","","","","","","","","","","","","","2018-09-03","2018-09-03","2018-11-16"
"1247676","NN, nn (Nordiska museet [877150])","Röster från hela Sverige","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","25","74","1941","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-869","adce0388-a0c7-4833-94a8-5eb9a9bef3b1","","","Etnologi (60503)","Nordiska museet","","","","","","","","","","","","","","","","2018-09-12","2018-09-12","2018-11-01"
"1247683","Gullberg, Hjalmar (Nordiska museet [877150])","Röster från Skansen","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","7","24","1941","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-872","","","","Etnologi (60503)","Skansen","","","","","","","","","","","","","","","","2018-09-12","2018-09-12","2018-11-01"
"1298103","Eldvik, Berit (Nordiska museet [877150])","Rött på vitt : broderier från Järvsö","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","57","74","1977","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1457","f82f07f3-1bd5-44a1-9831-c4e12ef4b9f9","","Broderier;Järvsö","Humaniora och konst (6)","Dräkt och textil","","","","","","","","","","","","","","","","2019-03-21","2019-03-21","2019-03-25"
"1234229","Samzelius, Hugo (Nordiska museet [877150])","Sagor och sägner, skrock och öfvertro från finnbygder och lappmarker","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Meddelanden från Nordiska museet 1902 : 1902","184","212","1904","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-415","65b0517a-a025-4d28-83ba-961167e76ab0","","Folktro;Finnmarker;Samer","Etnologi (60503)","Seder och bruk","","","","","","","","","","","","","","","","2018-07-23","2018-07-23","2018-11-21"
